Instance,MachineCategorySeed,ReliabilityLevelSeed
instances1/D01.txt,10001,20001
instances1/D02.txt,10002,20002
instances1/D03.txt,10003,20003
instances1/D04.txt,10004,20004
instances1/D05.txt,10005,20005
instances2/R01.txt,10006,20006
instances2/R02.txt,10007,20007
instances2/R03.txt,10008,20008
instances2/R04.txt,10009,20009
instances2/R05.txt,10010,20010
instances2/R06.txt,10011,20011
instances2/R07.txt,10012,20012
instances2/R08.txt,10013,20013
instances3/FMK01.txt,10014,20014
instances3/FMK02.txt,10015,20015
instances3/FMK03.txt,10016,20016
instances3/FMK04.txt,10017,20017
instances3/FMK05.txt,10018,20018
instances3/FMK06.txt,10019,20019
instances3/FMK07.txt,10020,20020
instances3/FMK08.txt,10021,20021
instances3/FMK09.txt,10022,20022
instances3/FMK10.txt,10023,20023
