Instance,MachineID,MachineCategory,MachineCategorySeed
instances1/D01.txt,1,AM,10001
instances1/D01.txt,2,NM,10001
instances1/D01.txt,3,SM,10001
instances1/D01.txt,4,SM,10001
instances1/D01.txt,5,NM,10001
instances1/D01.txt,6,AM,10001
instances1/D01.txt,7,SM,10001
instances1/D01.txt,8,AM,10001
instances1/D01.txt,9,SM,10001
instances1/D01.txt,10,SM,10001
instances1/D02.txt,1,SM,10002
instances1/D02.txt,2,SM,10002
instances1/D02.txt,3,SM,10002
instances1/D02.txt,4,SM,10002
instances1/D02.txt,5,NM,10002
instances1/D02.txt,6,AM,10002
instances1/D02.txt,7,NM,10002
instances1/D02.txt,8,AM,10002
instances1/D02.txt,9,AM,10002
instances1/D02.txt,10,SM,10002
instances1/D03.txt,1,AM,10003
instances1/D03.txt,2,SM,10003
instances1/D03.txt,3,AM,10003
instances1/D03.txt,4,SM,10003
instances1/D03.txt,5,AM,10003
instances1/D03.txt,6,SM,10003
instances1/D03.txt,7,SM,10003
instances1/D03.txt,8,SM,10003
instances1/D03.txt,9,NM,10003
instances1/D03.txt,10,NM,10003
instances1/D04.txt,1,SM,10004
instances1/D04.txt,2,SM,10004
instances1/D04.txt,3,SM,10004
instances1/D04.txt,4,NM,10004
instances1/D04.txt,5,SM,10004
instances1/D04.txt,6,AM,10004
instances1/D04.txt,7,AM,10004
instances1/D04.txt,8,SM,10004
instances1/D04.txt,9,AM,10004
instances1/D04.txt,10,NM,10004
instances1/D05.txt,1,NM,10005
instances1/D05.txt,2,NM,10005
instances1/D05.txt,3,AM,10005
instances1/D05.txt,4,SM,10005
instances1/D05.txt,5,AM,10005
instances1/D05.txt,6,SM,10005
instances1/D05.txt,7,SM,10005
instances1/D05.txt,8,SM,10005
instances1/D05.txt,9,AM,10005
instances1/D05.txt,10,SM,10005
instances2/R01.txt,1,AM,10006
instances2/R01.txt,2,SM,10006
instances2/R01.txt,3,SM,10006
instances2/R01.txt,4,AM,10006
instances2/R02.txt,1,SM,10007
instances2/R02.txt,2,AM,10007
instances2/R02.txt,3,AM,10007
instances2/R02.txt,4,AM,10007
instances2/R02.txt,5,SM,10007
instances2/R02.txt,6,SM,10007
instances2/R02.txt,7,SM,10007
instances2/R02.txt,8,NM,10007
instances2/R03.txt,1,AM,10008
instances2/R03.txt,2,NM,10008
instances2/R03.txt,3,SM,10008
instances2/R03.txt,4,SM,10008
instances2/R03.txt,5,SM,10008
instances2/R03.txt,6,AM,10008
instances2/R04.txt,1,NM,10009
instances2/R04.txt,2,SM,10009
instances2/R04.txt,3,SM,10009
instances2/R04.txt,4,SM,10009
instances2/R04.txt,5,SM,10009
instances2/R04.txt,6,NM,10009
instances2/R04.txt,7,AM,10009
instances2/R04.txt,8,SM,10009
instances2/R04.txt,9,AM,10009
instances2/R04.txt,10,AM,10009
instances2/R05.txt,1,SM,10010
instances2/R05.txt,2,SM,10010
instances2/R05.txt,3,NM,10010
instances2/R05.txt,4,SM,10010
instances2/R05.txt,5,SM,10010
instances2/R05.txt,6,AM,10010
instances2/R05.txt,7,AM,10010
instances2/R05.txt,8,AM,10010
instances2/R06.txt,1,SM,10011
instances2/R06.txt,2,SM,10011
instances2/R06.txt,3,SM,10011
instances2/R06.txt,4,AM,10011
instances2/R06.txt,5,NM,10011
instances2/R06.txt,6,AM,10011
instances2/R06.txt,7,AM,10011
instances2/R06.txt,8,SM,10011
instances2/R06.txt,9,NM,10011
instances2/R06.txt,10,SM,10011
instances2/R07.txt,1,SM,10012
instances2/R07.txt,2,SM,10012
instances2/R07.txt,3,SM,10012
instances2/R07.txt,4,AM,10012
instances2/R07.txt,5,NM,10012
instances2/R07.txt,6,SM,10012
instances2/R07.txt,7,AM,10012
instances2/R07.txt,8,AM,10012
instances2/R07.txt,9,NM,10012
instances2/R07.txt,10,SM,10012
instances2/R08.txt,1,AM,10013
instances2/R08.txt,2,SM,10013
instances2/R08.txt,3,SM,10013
instances2/R08.txt,4,AM,10013
instances2/R08.txt,5,SM,10013
instances2/R08.txt,6,NM,10013
instances2/R08.txt,7,SM,10013
instances2/R08.txt,8,AM,10013
instances2/R08.txt,9,AM,10013
instances2/R08.txt,10,NM,10013
instances2/R08.txt,11,NM,10013
instances2/R08.txt,12,AM,10013
instances2/R08.txt,13,SM,10013
instances2/R08.txt,14,SM,10013
instances2/R08.txt,15,SM,10013
instances3/FMK01.txt,1,SM,10014
instances3/FMK01.txt,2,AM,10014
instances3/FMK01.txt,3,SM,10014
instances3/FMK01.txt,4,AM,10014
instances3/FMK01.txt,5,SM,10014
instances3/FMK01.txt,6,NM,10014
instances3/FMK02.txt,1,SM,10015
instances3/FMK02.txt,2,SM,10015
instances3/FMK02.txt,3,AM,10015
instances3/FMK02.txt,4,NM,10015
instances3/FMK02.txt,5,AM,10015
instances3/FMK02.txt,6,SM,10015
instances3/FMK03.txt,1,SM,10016
instances3/FMK03.txt,2,AM,10016
instances3/FMK03.txt,3,SM,10016
instances3/FMK03.txt,4,SM,10016
instances3/FMK03.txt,5,NM,10016
instances3/FMK03.txt,6,AM,10016
instances3/FMK03.txt,7,SM,10016
instances3/FMK03.txt,8,AM,10016
instances3/FMK04.txt,1,NM,10017
instances3/FMK04.txt,2,AM,10017
instances3/FMK04.txt,3,SM,10017
instances3/FMK04.txt,4,AM,10017
instances3/FMK04.txt,5,SM,10017
instances3/FMK04.txt,6,SM,10017
instances3/FMK04.txt,7,AM,10017
instances3/FMK04.txt,8,SM,10017
instances3/FMK05.txt,1,AM,10018
instances3/FMK05.txt,2,AM,10018
instances3/FMK05.txt,3,SM,10018
instances3/FMK05.txt,4,SM,10018
instances3/FMK06.txt,1,SM,10019
instances3/FMK06.txt,2,NM,10019
instances3/FMK06.txt,3,AM,10019
instances3/FMK06.txt,4,SM,10019
instances3/FMK06.txt,5,NM,10019
instances3/FMK06.txt,6,SM,10019
instances3/FMK06.txt,7,SM,10019
instances3/FMK06.txt,8,NM,10019
instances3/FMK06.txt,9,SM,10019
instances3/FMK06.txt,10,SM,10019
instances3/FMK06.txt,11,AM,10019
instances3/FMK06.txt,12,AM,10019
instances3/FMK06.txt,13,SM,10019
instances3/FMK06.txt,14,AM,10019
instances3/FMK06.txt,15,AM,10019
instances3/FMK07.txt,1,NM,10020
instances3/FMK07.txt,2,SM,10020
instances3/FMK07.txt,3,SM,10020
instances3/FMK07.txt,4,AM,10020
instances3/FMK07.txt,5,AM,10020
instances3/FMK08.txt,1,AM,10021
instances3/FMK08.txt,2,SM,10021
instances3/FMK08.txt,3,SM,10021
instances3/FMK08.txt,4,NM,10021
instances3/FMK08.txt,5,AM,10021
instances3/FMK08.txt,6,SM,10021
instances3/FMK08.txt,7,SM,10021
instances3/FMK08.txt,8,SM,10021
instances3/FMK08.txt,9,AM,10021
instances3/FMK08.txt,10,NM,10021
instances3/FMK09.txt,1,SM,10022
instances3/FMK09.txt,2,SM,10022
instances3/FMK09.txt,3,SM,10022
instances3/FMK09.txt,4,AM,10022
instances3/FMK09.txt,5,SM,10022
instances3/FMK09.txt,6,AM,10022
instances3/FMK09.txt,7,NM,10022
